Age,Department,Salary,YearsExperience,Overtime,Attrition
25,Sales,30000,2,Yes,Yes
30,HR,35000,3,No,No
28,IT,40000,4,Yes,No
40,Finance,60000,10,No,No
35,Sales,45000,6,Yes,Yes
26,IT,32000,2,Yes,No
50,Finance,70000,15,No,No
45,HR,52000,12,No,No
29,Sales,38000,3,Yes,Yes
31,IT,42000,5,Yes,No
33,Finance,48000,7,No,No
41,HR,61000,11,No,No
27,Sales,34000,3,Yes,Yes
38,IT,58000,8,No,No
32,Finance,45000,6,No,No
36,HR,47000,7,No,No
29,Sales,37000,4,Yes,Yes
42,IT,64000,10,No,No
39,Finance,62000,9,No,No
34,Sales,43000,5,Yes,Yes
