StudyHours,ExamScore
4.37,25.54
9.56,48.66
7.59,37.37
6.39,30.44
2.4,4.61
2.4,8.4
1.52,5.3
8.8,49.29
6.41,33.77
7.37,28.03
1.19,7.57
9.73,46.72
8.49,39.07
2.91,17.61
2.64,18.35
2.65,17.91
3.74,14.5
5.72,27.05
4.89,26.11
3.62,22.98
6.51,30.15
2.26,10.37
3.63,12.62
4.3,15.52
5.1,29.56
8.07,47.13
2.8,13.64
5.63,33.17
6.33,33.46
1.42,3.87
6.47,34.16
2.53,20.34
1.59,7.77
9.54,55.52
9.69,35.35
8.28,45.51
3.74,19.14
1.88,7.9
7.16,36.26
4.96,14.86
2.1,9.4
5.46,29.09
1.31,13.94
9.18,43.31
3.33,12.61
6.96,32.29
3.81,23.63
5.68,30.04
5.92,26.95
2.66,15.87
