OrderID,OrderDate,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalSales
1001,2023-01-10,North,Electronics,Smartphone,10,20000,200000
1002,2023-01-12,South,Furniture,Office Chair,5,8000,40000
1003,2023-01-15,East,Clothing,T-Shirt,20,500,10000
1004,2023-01-20,West,Electronics,Laptop,7,60000,420000
1005,2023-02-02,North,Furniture,Desk,3,15000,45000
1006,2023-02-05,South,Electronics,Smartwatch,15,10000,150000
1007,2023-02-10,East,Clothing,Jeans,25,1500,37500
1008,2023-02-18,West,Furniture,Sofa,2,30000,60000
1009,2023-03-01,North,Electronics,Tablet,8,25000,200000
1010,2023-03-04,South,Clothing,Jacket,10,2500,25000
1011,2023-03-07,East,Electronics,Headphones,30,2000,60000
1012,2023-03-10,West,Furniture,Bed,4,40000,160000
1013,2023-03-12,North,Clothing,Shirt,15,1000,15000
1014,2023-03-15,South,Electronics,Camera,6,30000,180000
1015,2023-03-18,East,Furniture,Table,5,20000,100000
1016,2023-03-22,West,Clothing,Shoes,12,2000,24000
1017,2023-04-02,North,Electronics,Monitor,10,12000,120000
1018,2023-04-08,South,Furniture,Bookshelf,3,10000,30000
1019,2023-04-10,East,Electronics,Smartphone,8,18000,144000
1020,2023-04-12,West,Clothing,Trousers,18,1200,21600
